group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1052906.0,ns,58400
fib 20,,,,,2113006.0,ns,116800
fib 20,,,,,3117836.0,ns,175200
fib 20,,,,,3933348.0,ns,233600
fib 20,,,,,5382275.0,ns,292000
fib 20,,,,,6678653.0,ns,350400
fib 20,,,,,7186277.0,ns,408800
fib 20,,,,,8006905.0,ns,467200
fib 20,,,,,10299022.0,ns,525600
fib 20,,,,,10482930.0,ns,584000
fib 20,,,,,10917394.0,ns,642400
fib 20,,,,,12405165.0,ns,700800
fib 20,,,,,13098467.0,ns,759200
fib 20,,,,,13526807.0,ns,817600
fib 20,,,,,15244644.0,ns,876000
fib 20,,,,,15964960.0,ns,934400
fib 20,,,,,17332025.0,ns,992800
fib 20,,,,,17804554.0,ns,1051200
fib 20,,,,,18827396.0,ns,1109600
fib 20,,,,,19474791.0,ns,1168000
fib 20,,,,,20789591.0,ns,1226400
fib 20,,,,,21884895.0,ns,1284800
fib 20,,,,,22662515.0,ns,1343200
fib 20,,,,,23729583.0,ns,1401600
fib 20,,,,,24637642.0,ns,1460000
fib 20,,,,,25900350.0,ns,1518400
fib 20,,,,,26897450.0,ns,1576800
fib 20,,,,,29444651.0,ns,1635200
fib 20,,,,,28601033.0,ns,1693600
fib 20,,,,,30495977.0,ns,1752000
fib 20,,,,,34036968.0,ns,1810400
fib 20,,,,,34326678.0,ns,1868800
fib 20,,,,,33238405.0,ns,1927200
fib 20,,,,,34254893.0,ns,1985600
fib 20,,,,,34837720.0,ns,2044000
fib 20,,,,,36102338.0,ns,2102400
fib 20,,,,,37697423.0,ns,2160800
fib 20,,,,,38151086.0,ns,2219200
fib 20,,,,,38398772.0,ns,2277600
fib 20,,,,,39145528.0,ns,2336000
fib 20,,,,,39472036.0,ns,2394400
fib 20,,,,,45164062.0,ns,2452800
fib 20,,,,,41879814.0,ns,2511200
fib 20,,,,,41949991.0,ns,2569600
fib 20,,,,,43559713.0,ns,2628000
fib 20,,,,,44977927.0,ns,2686400
fib 20,,,,,42592089.0,ns,2744800
fib 20,,,,,42923810.0,ns,2803200
fib 20,,,,,43754508.0,ns,2861600
fib 20,,,,,44374204.0,ns,2920000
fib 20,,,,,45342702.0,ns,2978400
fib 20,,,,,45867636.0,ns,3036800
fib 20,,,,,51482350.0,ns,3095200
fib 20,,,,,49676454.0,ns,3153600
fib 20,,,,,50084429.0,ns,3212000
fib 20,,,,,54817538.0,ns,3270400
fib 20,,,,,54395098.0,ns,3328800
fib 20,,,,,52596297.0,ns,3387200
fib 20,,,,,52764063.0,ns,3445600
fib 20,,,,,54427147.0,ns,3504000
fib 20,,,,,55682076.0,ns,3562400
fib 20,,,,,54581360.0,ns,3620800
fib 20,,,,,60617572.0,ns,3679200
fib 20,,,,,57150107.0,ns,3737600
fib 20,,,,,63475277.0,ns,3796000
fib 20,,,,,61772717.0,ns,3854400
fib 20,,,,,72915410.0,ns,3912800
fib 20,,,,,69016546.0,ns,3971200
fib 20,,,,,70957843.0,ns,4029600
fib 20,,,,,69303591.0,ns,4088000
fib 20,,,,,64630014.0,ns,4146400
fib 20,,,,,66288873.0,ns,4204800
fib 20,,,,,67317526.0,ns,4263200
fib 20,,,,,74363979.0,ns,4321600
fib 20,,,,,86322392.0,ns,4380000
fib 20,,,,,93843510.0,ns,4438400
fib 20,,,,,78063269.0,ns,4496800
fib 20,,,,,77984949.0,ns,4555200
fib 20,,,,,83643253.0,ns,4613600
fib 20,,,,,88285859.0,ns,4672000
fib 20,,,,,81403900.0,ns,4730400
fib 20,,,,,82454521.0,ns,4788800
fib 20,,,,,86246850.0,ns,4847200
fib 20,,,,,89262321.0,ns,4905600
fib 20,,,,,78883316.0,ns,4964000
fib 20,,,,,91033949.0,ns,5022400
fib 20,,,,,91580007.0,ns,5080800
fib 20,,,,,104027917.0,ns,5139200
fib 20,,,,,96763136.0,ns,5197600
fib 20,,,,,89591901.0,ns,5256000
fib 20,,,,,97200744.0,ns,5314400
fib 20,,,,,97173337.0,ns,5372800
fib 20,,,,,91615406.0,ns,5431200
fib 20,,,,,96651535.0,ns,5489600
fib 20,,,,,97568447.0,ns,5548000
fib 20,,,,,102254530.0,ns,5606400
fib 20,,,,,105144382.0,ns,5664800
fib 20,,,,,102632873.0,ns,5723200
fib 20,,,,,109715984.0,ns,5781600
fib 20,,,,,101028111.0,ns,5840000
