group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get goo,,,,,1202047.0,ns,10281
get goo,,,,,2099249.0,ns,20562
get goo,,,,,3302803.0,ns,30843
get goo,,,,,4493161.0,ns,41124
get goo,,,,,5939529.0,ns,51405
get goo,,,,,6113586.0,ns,61686
get goo,,,,,7099492.0,ns,71967
get goo,,,,,7939120.0,ns,82248
get goo,,,,,9274500.0,ns,92529
get goo,,,,,9677642.0,ns,102810
get goo,,,,,10706198.0,ns,113091
get goo,,,,,11323589.0,ns,123372
get goo,,,,,11985328.0,ns,133653
get goo,,,,,13023598.0,ns,143934
get goo,,,,,14002871.0,ns,154215
get goo,,,,,14770849.0,ns,164496
get goo,,,,,15957394.0,ns,174777
get goo,,,,,17650461.0,ns,185058
get goo,,,,,19565879.0,ns,195339
get goo,,,,,19208674.0,ns,205620
get goo,,,,,19445466.0,ns,215901
get goo,,,,,20531285.0,ns,226182
get goo,,,,,21457643.0,ns,236463
get goo,,,,,22396582.0,ns,246744
get goo,,,,,23104124.0,ns,257025
get goo,,,,,28275956.0,ns,267306
get goo,,,,,26341470.0,ns,277587
get goo,,,,,26076975.0,ns,287868
get goo,,,,,27997917.0,ns,298149
get goo,,,,,30447714.0,ns,308430
get goo,,,,,29565345.0,ns,318711
get goo,,,,,29867182.0,ns,328992
get goo,,,,,31841489.0,ns,339273
get goo,,,,,33494918.0,ns,349554
get goo,,,,,32908883.0,ns,359835
get goo,,,,,33581211.0,ns,370116
get goo,,,,,34540923.0,ns,380397
get goo,,,,,36450877.0,ns,390678
get goo,,,,,36335577.0,ns,400959
get goo,,,,,37007650.0,ns,411240
get goo,,,,,38135914.0,ns,421521
get goo,,,,,43843052.0,ns,431802
get goo,,,,,40087848.0,ns,442083
get goo,,,,,43581266.0,ns,452364
get goo,,,,,43313012.0,ns,462645
get goo,,,,,43073471.0,ns,472926
get goo,,,,,44769710.0,ns,483207
get goo,,,,,44949495.0,ns,493488
get goo,,,,,45344047.0,ns,503769
get goo,,,,,46319790.0,ns,514050
get goo,,,,,49026129.0,ns,524331
get goo,,,,,49002156.0,ns,534612
get goo,,,,,55274924.0,ns,544893
get goo,,,,,50502203.0,ns,555174
get goo,,,,,56186404.0,ns,565455
get goo,,,,,52549102.0,ns,575736
get goo,,,,,55896650.0,ns,586017
get goo,,,,,55629366.0,ns,596298
get goo,,,,,55863441.0,ns,606579
get goo,,,,,57398680.0,ns,616860
get goo,,,,,63162537.0,ns,627141
get goo,,,,,62438398.0,ns,637422
get goo,,,,,61047896.0,ns,647703
get goo,,,,,61554655.0,ns,657984
get goo,,,,,62505262.0,ns,668265
get goo,,,,,61610347.0,ns,678546
get goo,,,,,62429800.0,ns,688827
get goo,,,,,64177717.0,ns,699108
get goo,,,,,65214590.0,ns,709389
get goo,,,,,72201196.0,ns,719670
get goo,,,,,69773615.0,ns,729951
get goo,,,,,69565947.0,ns,740232
get goo,,,,,69460471.0,ns,750513
get goo,,,,,69003513.0,ns,760794
get goo,,,,,70270391.0,ns,771075
get goo,,,,,70402956.0,ns,781356
get goo,,,,,76754496.0,ns,791637
get goo,,,,,75870293.0,ns,801918
get goo,,,,,80158493.0,ns,812199
get goo,,,,,83889069.0,ns,822480
get goo,,,,,86900074.0,ns,832761
get goo,,,,,81626984.0,ns,843042
get goo,,,,,86857375.0,ns,853323
get goo,,,,,87030879.0,ns,863604
get goo,,,,,88807344.0,ns,873885
get goo,,,,,89046820.0,ns,884166
get goo,,,,,89811305.0,ns,894447
get goo,,,,,90641592.0,ns,904728
get goo,,,,,93721086.0,ns,915009
get goo,,,,,101580398.0,ns,925290
get goo,,,,,98644759.0,ns,935571
get goo,,,,,99508599.0,ns,945852
get goo,,,,,100768330.0,ns,956133
get goo,,,,,101293388.0,ns,966414
get goo,,,,,102342528.0,ns,976695
get goo,,,,,102027355.0,ns,986976
get goo,,,,,103620648.0,ns,997257
get goo,,,,,105806123.0,ns,1007538
get goo,,,,,135417578.0,ns,1017819
get goo,,,,,111034961.0,ns,1028100
