group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get the,,,,,1312064.0,ns,5130
get the,,,,,2213363.0,ns,10260
get the,,,,,3584056.0,ns,15390
get the,,,,,4232412.0,ns,20520
get the,,,,,4922492.0,ns,25650
get the,,,,,6414923.0,ns,30780
get the,,,,,7105031.0,ns,35910
get the,,,,,9505876.0,ns,41040
get the,,,,,9026870.0,ns,46170
get the,,,,,10536022.0,ns,51300
get the,,,,,10826950.0,ns,56430
get the,,,,,12259237.0,ns,61560
get the,,,,,13770722.0,ns,66690
get the,,,,,13755642.0,ns,71820
get the,,,,,15619547.0,ns,76950
get the,,,,,15600170.0,ns,82080
get the,,,,,17312718.0,ns,87210
get the,,,,,17417163.0,ns,92340
get the,,,,,18131416.0,ns,97470
get the,,,,,18616508.0,ns,102600
get the,,,,,19069192.0,ns,107730
get the,,,,,20174516.0,ns,112860
get the,,,,,20939368.0,ns,117990
get the,,,,,22117023.0,ns,123120
get the,,,,,23669091.0,ns,128250
get the,,,,,23599493.0,ns,133380
get the,,,,,25582259.0,ns,138510
get the,,,,,25532326.0,ns,143640
get the,,,,,26499364.0,ns,148770
get the,,,,,28433748.0,ns,153900
get the,,,,,28535638.0,ns,159030
get the,,,,,35652307.0,ns,164160
get the,,,,,34713957.0,ns,169290
get the,,,,,35075562.0,ns,174420
get the,,,,,36709640.0,ns,179550
get the,,,,,35277486.0,ns,184680
get the,,,,,34172734.0,ns,189810
get the,,,,,34845026.0,ns,194940
get the,,,,,35547159.0,ns,200070
get the,,,,,36576993.0,ns,205200
get the,,,,,38014188.0,ns,210330
get the,,,,,38389408.0,ns,215460
get the,,,,,39375045.0,ns,220590
get the,,,,,41082183.0,ns,225720
get the,,,,,41333248.0,ns,230850
get the,,,,,49424549.0,ns,235980
get the,,,,,48350757.0,ns,241110
get the,,,,,45570167.0,ns,246240
get the,,,,,44263681.0,ns,251370
get the,,,,,45262366.0,ns,256500
get the,,,,,46432704.0,ns,261630
get the,,,,,47861384.0,ns,266760
get the,,,,,48325091.0,ns,271890
get the,,,,,48715114.0,ns,277020
get the,,,,,50110261.0,ns,282150
get the,,,,,56721292.0,ns,287280
get the,,,,,57656071.0,ns,292410
get the,,,,,58842360.0,ns,297540
get the,,,,,55402881.0,ns,302670
get the,,,,,55140343.0,ns,307800
get the,,,,,56281467.0,ns,312930
get the,,,,,56833901.0,ns,318060
get the,,,,,57631328.0,ns,323190
get the,,,,,58215722.0,ns,328320
get the,,,,,65970069.0,ns,333450
get the,,,,,68049479.0,ns,338580
get the,,,,,68518921.0,ns,343710
get the,,,,,68501221.0,ns,348840
get the,,,,,66231339.0,ns,353970
get the,,,,,63700756.0,ns,359100
get the,,,,,64984736.0,ns,364230
get the,,,,,69268964.0,ns,369360
get the,,,,,74806127.0,ns,374490
get the,,,,,73013851.0,ns,379620
get the,,,,,68420798.0,ns,384750
get the,,,,,70270234.0,ns,389880
get the,,,,,70991831.0,ns,395010
get the,,,,,71346016.0,ns,400140
get the,,,,,74168947.0,ns,405270
get the,,,,,81576084.0,ns,410400
get the,,,,,78648063.0,ns,415530
get the,,,,,81638432.0,ns,420660
get the,,,,,78294706.0,ns,425790
get the,,,,,86043234.0,ns,430920
get the,,,,,78410231.0,ns,436050
get the,,,,,90392333.0,ns,441180
get the,,,,,86974028.0,ns,446310
get the,,,,,85101009.0,ns,451440
get the,,,,,92110848.0,ns,456570
get the,,,,,87389905.0,ns,461700
get the,,,,,91573309.0,ns,466830
get the,,,,,94589742.0,ns,471960
get the,,,,,97434675.0,ns,477090
get the,,,,,101460240.0,ns,482220
get the,,,,,100158505.0,ns,487350
get the,,,,,111414309.0,ns,492480
get the,,,,,123689230.0,ns,497610
get the,,,,,95565834.0,ns,502740
get the,,,,,96113757.0,ns,507870
get the,,,,,93484388.0,ns,513000
