group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
regex split,,,,,1183481.0,ns,124291
regex split,,,,,2122766.0,ns,248582
regex split,,,,,3665121.0,ns,372873
regex split,,,,,4557713.0,ns,497164
regex split,,,,,4951070.0,ns,621455
regex split,,,,,5892638.0,ns,745746
regex split,,,,,8126109.0,ns,870037
regex split,,,,,8085412.0,ns,994328
regex split,,,,,8752145.0,ns,1118619
regex split,,,,,9649699.0,ns,1242910
regex split,,,,,10899308.0,ns,1367201
regex split,,,,,11400745.0,ns,1491492
regex split,,,,,11916278.0,ns,1615783
regex split,,,,,13020994.0,ns,1740074
regex split,,,,,13848820.0,ns,1864365
regex split,,,,,14628619.0,ns,1988656
regex split,,,,,15528582.0,ns,2112947
regex split,,,,,16257686.0,ns,2237238
regex split,,,,,18841104.0,ns,2361529
regex split,,,,,20152400.0,ns,2485820
regex split,,,,,19790215.0,ns,2610111
regex split,,,,,22604861.0,ns,2734402
regex split,,,,,22974096.0,ns,2858693
regex split,,,,,26157881.0,ns,2982984
regex split,,,,,26265603.0,ns,3107275
regex split,,,,,26461460.0,ns,3231566
regex split,,,,,27517614.0,ns,3355857
regex split,,,,,27883071.0,ns,3480148
regex split,,,,,26215731.0,ns,3604439
regex split,,,,,27514185.0,ns,3728730
regex split,,,,,29261271.0,ns,3853021
regex split,,,,,30085567.0,ns,3977312
regex split,,,,,31264814.0,ns,4101603
regex split,,,,,32396171.0,ns,4225894
regex split,,,,,32584601.0,ns,4350185
regex split,,,,,34960786.0,ns,4474476
regex split,,,,,35992871.0,ns,4598767
regex split,,,,,36184966.0,ns,4723058
regex split,,,,,36173486.0,ns,4847349
regex split,,,,,37104543.0,ns,4971640
regex split,,,,,41313604.0,ns,5095931
regex split,,,,,40997764.0,ns,5220222
regex split,,,,,39156058.0,ns,5344513
regex split,,,,,40864402.0,ns,5468804
regex split,,,,,41478023.0,ns,5593095
regex split,,,,,44428629.0,ns,5717386
regex split,,,,,46271852.0,ns,5841677
regex split,,,,,46006610.0,ns,5965968
regex split,,,,,46850850.0,ns,6090259
regex split,,,,,49605619.0,ns,6214550
regex split,,,,,47147851.0,ns,6338841
regex split,,,,,52177622.0,ns,6463132
regex split,,,,,50791267.0,ns,6587423
regex split,,,,,50673695.0,ns,6711714
regex split,,,,,50135336.0,ns,6836005
regex split,,,,,51953469.0,ns,6960296
regex split,,,,,53625098.0,ns,7084587
regex split,,,,,55074013.0,ns,7208878
regex split,,,,,56956398.0,ns,7333169
regex split,,,,,57264000.0,ns,7457460
regex split,,,,,57919325.0,ns,7581751
regex split,,,,,64000390.0,ns,7706042
regex split,,,,,59146952.0,ns,7830333
regex split,,,,,59959678.0,ns,7954624
regex split,,,,,60304440.0,ns,8078915
regex split,,,,,63065737.0,ns,8203206
regex split,,,,,64917455.0,ns,8327497
regex split,,,,,64484910.0,ns,8451788
regex split,,,,,63691187.0,ns,8576079
regex split,,,,,70260102.0,ns,8700370
regex split,,,,,65631205.0,ns,8824661
regex split,,,,,66814973.0,ns,8948952
regex split,,,,,68056214.0,ns,9073243
regex split,,,,,68990932.0,ns,9197534
regex split,,,,,71079198.0,ns,9321825
regex split,,,,,70928124.0,ns,9446116
regex split,,,,,77200673.0,ns,9570407
regex split,,,,,74157810.0,ns,9694698
regex split,,,,,73076453.0,ns,9818989
regex split,,,,,74707807.0,ns,9943280
regex split,,,,,75426435.0,ns,10067571
regex split,,,,,78206443.0,ns,10191862
regex split,,,,,79634208.0,ns,10316153
regex split,,,,,88375722.0,ns,10440444
regex split,,,,,82174610.0,ns,10564735
regex split,,,,,79875450.0,ns,10689026
regex split,,,,,80367102.0,ns,10813317
regex split,,,,,84849072.0,ns,10937608
regex split,,,,,81701291.0,ns,11061899
regex split,,,,,88708416.0,ns,11186190
regex split,,,,,84514933.0,ns,11310481
regex split,,,,,86402957.0,ns,11434772
regex split,,,,,92734493.0,ns,11559063
regex split,,,,,88340092.0,ns,11683354
regex split,,,,,92869984.0,ns,11807645
regex split,,,,,91491042.0,ns,11931936
regex split,,,,,89615723.0,ns,12056227
regex split,,,,,91561405.0,ns,12180518
regex split,,,,,94885781.0,ns,12304809
regex split,,,,,93094966.0,ns,12429100
