group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
stem fruitlessly,,,,,1053299.0,ns,1587
stem fruitlessly,,,,,2202103.0,ns,3174
stem fruitlessly,,,,,2815233.0,ns,4761
stem fruitlessly,,,,,3979061.0,ns,6348
stem fruitlessly,,,,,4926854.0,ns,7935
stem fruitlessly,,,,,5629799.0,ns,9522
stem fruitlessly,,,,,7786117.0,ns,11109
stem fruitlessly,,,,,8729506.0,ns,12696
stem fruitlessly,,,,,8451402.0,ns,14283
stem fruitlessly,,,,,9983126.0,ns,15870
stem fruitlessly,,,,,11702678.0,ns,17457
stem fruitlessly,,,,,11509029.0,ns,19044
stem fruitlessly,,,,,12588648.0,ns,20631
stem fruitlessly,,,,,14074420.0,ns,22218
stem fruitlessly,,,,,14680232.0,ns,23805
stem fruitlessly,,,,,14948828.0,ns,25392
stem fruitlessly,,,,,15708687.0,ns,26979
stem fruitlessly,,,,,16948194.0,ns,28566
stem fruitlessly,,,,,18721595.0,ns,30153
stem fruitlessly,,,,,19806760.0,ns,31740
stem fruitlessly,,,,,20042168.0,ns,33327
stem fruitlessly,,,,,25798635.0,ns,34914
stem fruitlessly,,,,,26917685.0,ns,36501
stem fruitlessly,,,,,29920359.0,ns,38088
stem fruitlessly,,,,,25881002.0,ns,39675
stem fruitlessly,,,,,26776858.0,ns,41262
stem fruitlessly,,,,,35847713.0,ns,42849
stem fruitlessly,,,,,37788211.0,ns,44436
stem fruitlessly,,,,,36522664.0,ns,46023
stem fruitlessly,,,,,32278481.0,ns,47610
stem fruitlessly,,,,,37845486.0,ns,49197
stem fruitlessly,,,,,34427963.0,ns,50784
stem fruitlessly,,,,,33085359.0,ns,52371
stem fruitlessly,,,,,34447910.0,ns,53958
stem fruitlessly,,,,,36660353.0,ns,55545
stem fruitlessly,,,,,37396726.0,ns,57132
stem fruitlessly,,,,,38240801.0,ns,58719
stem fruitlessly,,,,,41381006.0,ns,60306
stem fruitlessly,,,,,40504336.0,ns,61893
stem fruitlessly,,,,,45949116.0,ns,63480
stem fruitlessly,,,,,43183846.0,ns,65067
stem fruitlessly,,,,,45496656.0,ns,66654
stem fruitlessly,,,,,43683361.0,ns,68241
stem fruitlessly,,,,,46006876.0,ns,69828
stem fruitlessly,,,,,45113807.0,ns,71415
stem fruitlessly,,,,,45380436.0,ns,73002
stem fruitlessly,,,,,49026354.0,ns,74589
stem fruitlessly,,,,,48020880.0,ns,76176
stem fruitlessly,,,,,53052503.0,ns,77763
stem fruitlessly,,,,,50735904.0,ns,79350
stem fruitlessly,,,,,52671814.0,ns,80937
stem fruitlessly,,,,,53664180.0,ns,82524
stem fruitlessly,,,,,54136795.0,ns,84111
stem fruitlessly,,,,,58635487.0,ns,85698
stem fruitlessly,,,,,58188762.0,ns,87285
stem fruitlessly,,,,,57901164.0,ns,88872
stem fruitlessly,,,,,60547097.0,ns,90459
stem fruitlessly,,,,,60151545.0,ns,92046
stem fruitlessly,,,,,64458482.0,ns,93633
stem fruitlessly,,,,,88058822.0,ns,95220
stem fruitlessly,,,,,97391003.0,ns,96807
stem fruitlessly,,,,,64494418.0,ns,98394
stem fruitlessly,,,,,64847150.0,ns,99981
stem fruitlessly,,,,,65255397.0,ns,101568
stem fruitlessly,,,,,66452578.0,ns,103155
stem fruitlessly,,,,,67301874.0,ns,104742
stem fruitlessly,,,,,67482302.0,ns,106329
stem fruitlessly,,,,,78874863.0,ns,107916
stem fruitlessly,,,,,75841822.0,ns,109503
stem fruitlessly,,,,,72882709.0,ns,111090
stem fruitlessly,,,,,71347304.0,ns,112677
stem fruitlessly,,,,,73858507.0,ns,114264
stem fruitlessly,,,,,74881211.0,ns,115851
stem fruitlessly,,,,,75136922.0,ns,117438
stem fruitlessly,,,,,79411797.0,ns,119025
stem fruitlessly,,,,,76781740.0,ns,120612
stem fruitlessly,,,,,78914768.0,ns,122199
stem fruitlessly,,,,,77227749.0,ns,123786
stem fruitlessly,,,,,78046519.0,ns,125373
stem fruitlessly,,,,,74935088.0,ns,126960
stem fruitlessly,,,,,81551541.0,ns,128547
stem fruitlessly,,,,,82400271.0,ns,130134
stem fruitlessly,,,,,83218864.0,ns,131721
stem fruitlessly,,,,,86507506.0,ns,133308
stem fruitlessly,,,,,88954797.0,ns,134895
stem fruitlessly,,,,,89748127.0,ns,136482
stem fruitlessly,,,,,87634271.0,ns,138069
stem fruitlessly,,,,,80811038.0,ns,139656
stem fruitlessly,,,,,80987377.0,ns,141243
stem fruitlessly,,,,,83833961.0,ns,142830
stem fruitlessly,,,,,88777309.0,ns,144417
stem fruitlessly,,,,,88731004.0,ns,146004
stem fruitlessly,,,,,93534373.0,ns,147591
stem fruitlessly,,,,,97342914.0,ns,149178
stem fruitlessly,,,,,97989512.0,ns,150765
stem fruitlessly,,,,,98569211.0,ns,152352
stem fruitlessly,,,,,100358959.0,ns,153939
stem fruitlessly,,,,,94162351.0,ns,155526
stem fruitlessly,,,,,94321892.0,ns,157113
stem fruitlessly,,,,,95608258.0,ns,158700
