group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
string split,,,,,1016548.0,ns,380201
string split,,,,,2101038.0,ns,760402
string split,,,,,3413222.0,ns,1140603
string split,,,,,4322256.0,ns,1520804
string split,,,,,5904675.0,ns,1901005
string split,,,,,6187021.0,ns,2281206
string split,,,,,6963877.0,ns,2661407
string split,,,,,7572178.0,ns,3041608
string split,,,,,9135641.0,ns,3421809
string split,,,,,9588026.0,ns,3802010
string split,,,,,10462540.0,ns,4182211
string split,,,,,11744670.0,ns,4562412
string split,,,,,12184446.0,ns,4942613
string split,,,,,13379095.0,ns,5322814
string split,,,,,14289374.0,ns,5703015
string split,,,,,14702703.0,ns,6083216
string split,,,,,16003719.0,ns,6463417
string split,,,,,17026396.0,ns,6843618
string split,,,,,17859327.0,ns,7223819
string split,,,,,18427827.0,ns,7604020
string split,,,,,20363229.0,ns,7984221
string split,,,,,21343739.0,ns,8364422
string split,,,,,22284118.0,ns,8744623
string split,,,,,23084927.0,ns,9124824
string split,,,,,24942404.0,ns,9505025
string split,,,,,24711077.0,ns,9885226
string split,,,,,26781037.0,ns,10265427
string split,,,,,27237755.0,ns,10645628
string split,,,,,28565761.0,ns,11025829
string split,,,,,31195492.0,ns,11406030
string split,,,,,30432726.0,ns,11786231
string split,,,,,30265204.0,ns,12166432
string split,,,,,30347244.0,ns,12546633
string split,,,,,32048326.0,ns,12926834
string split,,,,,32790914.0,ns,13307035
string split,,,,,34212025.0,ns,13687236
string split,,,,,34879825.0,ns,14067437
string split,,,,,35205812.0,ns,14447638
string split,,,,,37226727.0,ns,14827839
string split,,,,,37187880.0,ns,15208040
string split,,,,,38231823.0,ns,15588241
string split,,,,,40112949.0,ns,15968442
string split,,,,,41677549.0,ns,16348643
string split,,,,,42967642.0,ns,16728844
string split,,,,,43422050.0,ns,17109045
string split,,,,,42116612.0,ns,17489246
string split,,,,,42509835.0,ns,17869447
string split,,,,,44600942.0,ns,18249648
string split,,,,,44620633.0,ns,18629849
string split,,,,,46268443.0,ns,19010050
string split,,,,,46127297.0,ns,19390251
string split,,,,,46812483.0,ns,19770452
string split,,,,,49035180.0,ns,20150653
string split,,,,,53106576.0,ns,20530854
string split,,,,,53867394.0,ns,20911055
string split,,,,,53245077.0,ns,21291256
string split,,,,,56482423.0,ns,21671457
string split,,,,,57241843.0,ns,22051658
string split,,,,,57221550.0,ns,22431859
string split,,,,,58269228.0,ns,22812060
string split,,,,,59549835.0,ns,23192261
string split,,,,,60583264.0,ns,23572462
string split,,,,,61814378.0,ns,23952663
string split,,,,,64781172.0,ns,24332864
string split,,,,,60905099.0,ns,24713065
string split,,,,,62178630.0,ns,25093266
string split,,,,,61683129.0,ns,25473467
string split,,,,,64958868.0,ns,25853668
string split,,,,,87420670.0,ns,26233869
string split,,,,,69002950.0,ns,26614070
string split,,,,,69411340.0,ns,26994271
string split,,,,,72619440.0,ns,27374472
string split,,,,,70763671.0,ns,27754673
string split,,,,,69149680.0,ns,28134874
string split,,,,,70366908.0,ns,28515075
string split,,,,,74366067.0,ns,28895276
string split,,,,,73740740.0,ns,29275477
string split,,,,,74047877.0,ns,29655678
string split,,,,,75561095.0,ns,30035879
string split,,,,,74051031.0,ns,30416080
string split,,,,,77424863.0,ns,30796281
string split,,,,,75356010.0,ns,31176482
string split,,,,,77129673.0,ns,31556683
string split,,,,,80997476.0,ns,31936884
string split,,,,,82704103.0,ns,32317085
string split,,,,,78767952.0,ns,32697286
string split,,,,,81533296.0,ns,33077487
string split,,,,,85694752.0,ns,33457688
string split,,,,,90652314.0,ns,33837889
string split,,,,,88500679.0,ns,34218090
string split,,,,,89254058.0,ns,34598291
string split,,,,,90492422.0,ns,34978492
string split,,,,,90621072.0,ns,35358693
string split,,,,,91956995.0,ns,35738894
string split,,,,,93916714.0,ns,36119095
string split,,,,,95484229.0,ns,36499296
string split,,,,,95097368.0,ns,36879497
string split,,,,,94665591.0,ns,37259698
string split,,,,,93732694.0,ns,37639899
string split,,,,,94968068.0,ns,38020100
