group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
trie foo,,,,,1096210.0,ns,10290
trie foo,,,,,2133774.0,ns,20580
trie foo,,,,,3545920.0,ns,30870
trie foo,,,,,4028570.0,ns,41160
trie foo,,,,,4961175.0,ns,51450
trie foo,,,,,6107496.0,ns,61740
trie foo,,,,,6893854.0,ns,72030
trie foo,,,,,7833007.0,ns,82320
trie foo,,,,,8672425.0,ns,92610
trie foo,,,,,10149958.0,ns,102900
trie foo,,,,,10789215.0,ns,113190
trie foo,,,,,11409753.0,ns,123480
trie foo,,,,,12685743.0,ns,133770
trie foo,,,,,13513683.0,ns,144060
trie foo,,,,,14786584.0,ns,154350
trie foo,,,,,15869322.0,ns,164640
trie foo,,,,,15885660.0,ns,174930
trie foo,,,,,18193558.0,ns,185220
trie foo,,,,,17959318.0,ns,195510
trie foo,,,,,18573666.0,ns,205800
trie foo,,,,,21157040.0,ns,216090
trie foo,,,,,21139941.0,ns,226380
trie foo,,,,,20985203.0,ns,236670
trie foo,,,,,21330407.0,ns,246960
trie foo,,,,,22968878.0,ns,257250
trie foo,,,,,24924686.0,ns,267540
trie foo,,,,,26068460.0,ns,277830
trie foo,,,,,27132581.0,ns,288120
trie foo,,,,,27637387.0,ns,298410
trie foo,,,,,27798908.0,ns,308700
trie foo,,,,,28743935.0,ns,318990
trie foo,,,,,32857181.0,ns,329280
trie foo,,,,,33194471.0,ns,339570
trie foo,,,,,33709138.0,ns,349860
trie foo,,,,,34884433.0,ns,360150
trie foo,,,,,35535996.0,ns,370440
trie foo,,,,,38347798.0,ns,380730
trie foo,,,,,39026818.0,ns,391020
trie foo,,,,,40516762.0,ns,401310
trie foo,,,,,39696137.0,ns,411600
trie foo,,,,,41222391.0,ns,421890
trie foo,,,,,42456875.0,ns,432180
trie foo,,,,,41754199.0,ns,442470
trie foo,,,,,44382032.0,ns,452760
trie foo,,,,,45457517.0,ns,463050
trie foo,,,,,46128627.0,ns,473340
trie foo,,,,,47351578.0,ns,483630
trie foo,,,,,48122915.0,ns,493920
trie foo,,,,,48447424.0,ns,504210
trie foo,,,,,51881371.0,ns,514500
trie foo,,,,,49678086.0,ns,524790
trie foo,,,,,52703776.0,ns,535080
trie foo,,,,,53751123.0,ns,545370
trie foo,,,,,53988080.0,ns,555660
trie foo,,,,,55313531.0,ns,565950
trie foo,,,,,56442603.0,ns,576240
trie foo,,,,,56735636.0,ns,586530
trie foo,,,,,56790739.0,ns,596820
trie foo,,,,,60233263.0,ns,607110
trie foo,,,,,55079917.0,ns,617400
trie foo,,,,,58448255.0,ns,627690
trie foo,,,,,59773339.0,ns,637980
trie foo,,,,,60414007.0,ns,648270
trie foo,,,,,60802274.0,ns,658560
trie foo,,,,,58770431.0,ns,668850
trie foo,,,,,62520877.0,ns,679140
trie foo,,,,,69823262.0,ns,689430
trie foo,,,,,65280034.0,ns,699720
trie foo,,,,,68411395.0,ns,710010
trie foo,,,,,67945961.0,ns,720300
trie foo,,,,,69362230.0,ns,730590
trie foo,,,,,68531863.0,ns,740880
trie foo,,,,,73720271.0,ns,751170
trie foo,,,,,75477877.0,ns,761460
trie foo,,,,,76357202.0,ns,771750
trie foo,,,,,75312811.0,ns,782040
trie foo,,,,,72313185.0,ns,792330
trie foo,,,,,76740096.0,ns,802620
trie foo,,,,,80270394.0,ns,812910
trie foo,,,,,80421842.0,ns,823200
trie foo,,,,,82782872.0,ns,833490
trie foo,,,,,82734145.0,ns,843780
trie foo,,,,,83566719.0,ns,854070
trie foo,,,,,84130027.0,ns,864360
trie foo,,,,,78079608.0,ns,874650
trie foo,,,,,79625957.0,ns,884940
trie foo,,,,,89863052.0,ns,895230
trie foo,,,,,89886290.0,ns,905520
trie foo,,,,,89468589.0,ns,915810
trie foo,,,,,89432018.0,ns,926100
trie foo,,,,,82981969.0,ns,936390
trie foo,,,,,91454975.0,ns,946680
trie foo,,,,,93874789.0,ns,956970
trie foo,,,,,94683139.0,ns,967260
trie foo,,,,,117694267.0,ns,977550
trie foo,,,,,179395458.0,ns,987840
trie foo,,,,,112043929.0,ns,998130
trie foo,,,,,108403148.0,ns,1008420
trie foo,,,,,108130225.0,ns,1018710
trie foo,,,,,96305547.0,ns,1029000
