group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,1160027.0,ns,6600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,2217755.0,ns,13200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,3883674.0,ns,19800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,3634415.0,ns,26400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,4651182.0,ns,33000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,5650915.0,ns,39600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,7513264.0,ns,46200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,7521378.0,ns,52800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,8463241.0,ns,59400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,9877357.0,ns,66000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,10124319.0,ns,72600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,12686945.0,ns,79200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,12207714.0,ns,85800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,14183288.0,ns,92400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,13912842.0,ns,99000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,14431545.0,ns,105600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,15605894.0,ns,112200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,16239315.0,ns,118800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,17093949.0,ns,125400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,18488219.0,ns,132000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,19019743.0,ns,138600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,19543256.0,ns,145200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,20269130.0,ns,151800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,20951026.0,ns,158400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,23029014.0,ns,165000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,25346239.0,ns,171600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,25264615.0,ns,178200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,28235203.0,ns,184800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,27118214.0,ns,191400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,29569606.0,ns,198000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,31685822.0,ns,204600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,29862791.0,ns,211200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,29521023.0,ns,217800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,29731818.0,ns,224400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,32047803.0,ns,231000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,31837291.0,ns,237600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,33032352.0,ns,244200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,38823885.0,ns,250800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,38315998.0,ns,257400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,40264726.0,ns,264000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,40723424.0,ns,270600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,41808986.0,ns,277200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,42344696.0,ns,283800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,39898250.0,ns,290400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,45280722.0,ns,297000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,41830282.0,ns,303600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,45409010.0,ns,310200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,43348544.0,ns,316800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,45213257.0,ns,323400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,51365686.0,ns,330000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,50336417.0,ns,336600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,50755301.0,ns,343200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,49547275.0,ns,349800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,52917191.0,ns,356400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,54356385.0,ns,363000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,51350848.0,ns,369600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,50412629.0,ns,376200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,51689919.0,ns,382800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,52777913.0,ns,389400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,62532993.0,ns,396000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,59254149.0,ns,402600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,60699703.0,ns,409200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,60801189.0,ns,415800
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,64809581.0,ns,422400
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,64773458.0,ns,429000
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,64740981.0,ns,435600
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,62314823.0,ns,442200
trie pneumonoultramicroscopicsilicovolcanoconiosis,,,,,68498287.0,ns,448800
