group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
trie the,,,,,1045656.0,ns,4999
trie the,,,,,2087376.0,ns,9998
trie the,,,,,2843423.0,ns,14997
trie the,,,,,3898319.0,ns,19996
trie the,,,,,5021851.0,ns,24995
trie the,,,,,6300779.0,ns,29994
trie the,,,,,6817305.0,ns,34993
trie the,,,,,7882275.0,ns,39992
trie the,,,,,9159172.0,ns,44991
trie the,,,,,10111089.0,ns,49990
trie the,,,,,10759791.0,ns,54989
trie the,,,,,13013792.0,ns,59988
trie the,,,,,12923059.0,ns,64987
trie the,,,,,13902858.0,ns,69986
trie the,,,,,15043236.0,ns,74985
trie the,,,,,15788052.0,ns,79984
trie the,,,,,16475900.0,ns,84983
trie the,,,,,17369956.0,ns,89982
trie the,,,,,22220800.0,ns,94981
trie the,,,,,27183057.0,ns,99980
trie the,,,,,33145001.0,ns,104979
trie the,,,,,36088833.0,ns,109978
trie the,,,,,26277256.0,ns,114977
trie the,,,,,24293623.0,ns,119976
trie the,,,,,25108939.0,ns,124975
trie the,,,,,25187489.0,ns,129974
trie the,,,,,26167583.0,ns,134973
trie the,,,,,27618293.0,ns,139972
trie the,,,,,27474911.0,ns,144971
trie the,,,,,29574357.0,ns,149970
trie the,,,,,30581528.0,ns,154969
trie the,,,,,30499897.0,ns,159968
trie the,,,,,31216079.0,ns,164967
trie the,,,,,32469853.0,ns,169966
trie the,,,,,33952634.0,ns,174965
trie the,,,,,35765614.0,ns,179964
trie the,,,,,35316355.0,ns,184963
trie the,,,,,36378870.0,ns,189962
trie the,,,,,38857457.0,ns,194961
trie the,,,,,38465817.0,ns,199960
trie the,,,,,39901974.0,ns,204959
trie the,,,,,40683485.0,ns,209958
trie the,,,,,46003035.0,ns,214957
trie the,,,,,46548845.0,ns,219956
trie the,,,,,43998775.0,ns,224955
trie the,,,,,45609558.0,ns,229954
trie the,,,,,45378242.0,ns,234953
trie the,,,,,45676641.0,ns,239952
trie the,,,,,47545455.0,ns,244951
trie the,,,,,48240096.0,ns,249950
trie the,,,,,48413219.0,ns,254949
trie the,,,,,50747242.0,ns,259948
trie the,,,,,55984831.0,ns,264947
trie the,,,,,52644179.0,ns,269946
trie the,,,,,53079946.0,ns,274945
trie the,,,,,54216444.0,ns,279944
trie the,,,,,54452721.0,ns,284943
trie the,,,,,56088793.0,ns,289942
trie the,,,,,56407971.0,ns,294941
trie the,,,,,56101442.0,ns,299940
trie the,,,,,58463523.0,ns,304939
trie the,,,,,59593433.0,ns,309938
trie the,,,,,73888471.0,ns,314937
trie the,,,,,62971052.0,ns,319936
trie the,,,,,62658434.0,ns,324935
trie the,,,,,61287946.0,ns,329934
trie the,,,,,63548760.0,ns,334933
trie the,,,,,64007354.0,ns,339932
trie the,,,,,67118461.0,ns,344931
trie the,,,,,68163735.0,ns,349930
trie the,,,,,73619988.0,ns,354929
trie the,,,,,69499204.0,ns,359928
trie the,,,,,71760426.0,ns,364927
trie the,,,,,72062139.0,ns,369926
trie the,,,,,70650181.0,ns,374925
trie the,,,,,72475929.0,ns,379924
trie the,,,,,77383361.0,ns,384923
trie the,,,,,76986738.0,ns,389922
trie the,,,,,76121069.0,ns,394921
trie the,,,,,76498849.0,ns,399920
trie the,,,,,76074472.0,ns,404919
trie the,,,,,78214894.0,ns,409918
trie the,,,,,82382555.0,ns,414917
trie the,,,,,81787905.0,ns,419916
trie the,,,,,82149146.0,ns,424915
trie the,,,,,81284940.0,ns,429914
trie the,,,,,81757350.0,ns,434913
trie the,,,,,80908699.0,ns,439912
trie the,,,,,86249268.0,ns,444911
trie the,,,,,82166388.0,ns,449910
trie the,,,,,77687618.0,ns,454909
trie the,,,,,78476628.0,ns,459908
trie the,,,,,79491248.0,ns,464907
trie the,,,,,83336339.0,ns,469906
trie the,,,,,93023648.0,ns,474905
trie the,,,,,87714517.0,ns,479904
trie the,,,,,91614337.0,ns,484903
trie the,,,,,94671465.0,ns,489902
trie the,,,,,93971827.0,ns,494901
trie the,,,,,93622166.0,ns,499900
